    #parametro     lambda_01     lambda_02     lambda_03
      2.500000      2.310676      0.002564    -11.813240
      2.500125      2.384342      0.000648    -11.885115
      2.500250      2.377131      0.000890    -11.878271
      2.500375      2.374621     -0.000590    -11.874406
      2.500500      2.415765      0.001546    -11.917811
      2.500625      2.375252      0.000773    -11.876650
      2.500750      2.418578      0.000829    -11.920157
      2.500875      2.345963      0.000830    -11.847668
      2.501000      2.378463     -0.000300    -11.879163
      2.501125      2.344026     -0.001119    -11.844032
      2.501250      2.403216     -0.000142    -11.904325
      2.501375      2.419579      0.001432    -11.922386
      2.501500      2.346376      0.000221    -11.848097
      2.501625      2.352622     -0.003765    -11.850483
      2.501750      2.410290      0.000545    -11.912586
      2.501875      2.402316      0.000537    -11.904728
      2.502000      2.343723      0.000391    -11.846114
      2.502125      2.376656     -0.000102    -11.878679
      2.502250      2.379453      0.000358    -11.882061
      2.502375      2.376297      0.001480    -11.880152
      2.502500      2.403053      0.000403    -11.905957
      2.502625      2.340803      0.000394    -11.843822
      2.502750      2.369583      0.002119    -11.874453
      2.502875      2.342470      0.001700    -11.847045
      2.503000      2.346264      0.000338    -11.849602
      2.503125      2.340536     -0.001475    -11.842186
      2.503250      2.331730     -0.000660    -11.834320
      2.503375      2.323243     -0.000333    -11.826285
      2.503500      2.364778     -0.000228    -11.868050
      2.503625      2.322152      0.000636    -11.826413
      2.503750      2.306921     -0.001356    -11.809316
      2.503875      2.318668     -0.000160    -11.822384
      2.504000      2.342332      0.001035    -11.847367
      2.504125      2.330350      0.000020    -11.834495
      2.504250      2.320448      0.001144    -11.825841
      2.504375      2.280879     -0.001813    -11.783440
      2.504500      2.316826     -0.000951    -11.820374
      2.504625      2.306962     -0.003559    -11.808028
      2.504750      2.253487      0.000468    -11.758705
      2.504875      2.273093     -0.000344    -11.777624
      2.505000      2.335977     -0.000188    -11.840789
      2.505125      2.281858     -0.001105    -11.785878
      2.505250      2.347685     -0.000875    -11.852060
      2.505375      2.282497     -0.000770    -11.787102
      2.505500      2.260610      0.001009    -11.767119
      2.505625      2.314503     -0.000242    -11.819886
      2.505750      2.273066     -0.000022    -11.778794
      2.505875      2.265665     -0.001786    -11.769754
      2.506000      2.202709     -0.000566    -11.708143
      2.506125      2.235407      0.000183    -11.741715
      2.506250      2.241136     -0.001288    -11.746098
      2.506375      2.271754     -0.000849    -11.777280
      2.506500      2.238686      0.000388    -11.745573
      2.506625      2.253008     -0.000873    -11.758760
      2.506750      2.323895      0.002527    -11.833173
      2.506875      2.306373     -0.000680    -11.812568
      2.507000      2.296462      0.000593    -11.804055
      2.507125      2.278180      0.003702    -11.789007
      2.507250      2.270345     -0.000450    -11.777145
      2.507375      2.245464     -0.000502    -11.752337
      2.507500      2.303368     -0.001858    -11.809010
      2.507625      2.248502      0.000278    -11.756405
      2.507750      2.268351     -0.002753    -11.773348
      2.507875      2.257070      0.000887    -11.765831
      2.508000      2.214837     -0.001126    -11.721710
      2.508125      2.203522      0.002984    -11.714631
      2.508250      2.245081      0.000051    -11.753382
      2.508375      2.235800      0.000371    -11.744546
      2.508500      2.234811     -0.000538    -11.742773
      2.508625      2.223915      0.004365    -11.736906
      2.508750      2.295378      0.000276    -11.804404
      2.508875      2.161358      0.000169    -11.670402
